localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	El Jardin Colonial		8,6	Precio $ 121.155	+ $ 25.073 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Libertador General San Martín	Hosteria-Spa Posada del Sol		8,9	Precio $ 281.755	+ $ 59.169 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 732.564	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabaña Alta Vista	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina, 37m²	8,9	Precio $ 450.809	+ $ 94.670 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Hoyada	Apartamento entero, 3 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 300m²	8,9	Precio $ 873.441	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Posada Don Juan		8,9	Precio $ 309.931	+ $ 65.085 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Convento de Tilcara	2 camas en habitación compartida	8,4	Precio $ 101.939	+ $ 21.407 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	flor del tilcara		NA	Precio $ 100.587	+ $ 21.123 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Huacalera	Finca La Victoria	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 225.404	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Huacalera	Posada Huacalera (Tropico de Capricornio)	Casa o chalet entero, 4 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 130m²	9,0	Precio $ 344.869	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Huacalera	Hotel Huacalera		8,5	Precio original $ 605.422. Precio actual $ 484.337.	+ $ 101.711 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Huacalera	El Cardon Hospedaje		8,2	Precio $ 309.931	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Villa del Cielo		8,9	Precio $ 486.394	+ $ 102.143 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostal Antigua Tilcara		9,2	Precio $ 510.667	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	flor del tilcara		NA	Precio $ 100.587	+ $ 21.123 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Alas del Alma		8,1	Precio $ 456.444	+ $ 95.853 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Shaddai		8,8	Precio $ 197.229	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hotel Belgrano		7,3	Precio $ 228.560	+ $ 47.998 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Hostel		8,8	Precio $ 123.972	+ $ 26.034 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 464.896	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 259.215	+ $ 54.435 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Patio Chikan		7,3	Precio original $ 315.566. Precio actual $ 284.009.	+ $ 59.642 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Carnavalito Hostel Tilcara		8,0	Precio $ 183.141	+ $ 38.460 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hotel Norte Rupestre		7,6	Precio $ 314.157	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tinku	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 33m²	9,5	Precio original $ 427.222. Precio actual $ 384.499.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabañas La Esther Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	9,1	Precio $ 278.938	+ $ 58.577 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tierra Andina Hostal y Cabañas	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 20m²	7,8	Precio $ 348.672	+ $ 72.851 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Posada de Bartola		8,2	Precio original $ 119.746. Precio actual $ 101.770.	+ $ 21.372 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Aguacanto Cabañas		8,8	Precio $ 346.080	+ $ 72.677 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 191.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Farolito Hostel		7,9	Precio $ 202.864	+ $ 42.601 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Patio Alto		8,9	Precio $ 441.792	+ $ 92.776 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cerro Negro Hostal	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	7,8	Precio $ 531.644	+ $ 111.645 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tierra Andina Hostel		8,1	Precio original $ 309.931. Precio actual $ 247.945.	+ $ 52.068 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Tia Maria		NA	Precio original $ 319.511. Precio actual $ 255.608.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 351.631	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Posada Don Juan		8,9	Precio $ 309.931	+ $ 65.085 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 191.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Los Arcabuceros		9,5	Precio $ 535.335	+ $ 112.420 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Hostal Niña Coya		8,9	Precio $ 262.032	+ $ 55.027 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Las Tinajas		8,2	Precio $ 352.194	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Alojamiento El Cardon Tilcara		7,9	Precio $ 191.594	+ $ 40.235 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostería el Sol Naciente		7,5	Precio $ 205.681	+ $ 43.193 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Casa de Fede		6,8	Precio $ 177.224	+ $ 37.217 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cielo de Tierra 2 - Un balcón a los cerros		10	Precio $ 338.106	+ $ 71.002 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Hoyada	Apartamento entero, 3 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 300m²	8,9	Precio $ 873.441	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cielo de Tierra 1: Balcón a los molles	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 50m²	9,0	Precio $ 366.282	+ $ 76.919 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Aguaribay Tilcara	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 127m²	9,7	Precio $ 619.862	+ $ 130.171 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Rancho	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,0	Precio $ 225.404	+ $ 47.335 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabaña Alta Vista	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina, 37m²	8,9	Precio $ 450.809	+ $ 94.670 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Colorada Hostal		9,7	Precio $ 281.755	+ $ 59.169 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casas de Juella	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 295.843	+ $ 62.127 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa en el centro de Tilcara	Casa o chalet entero, 4 dormitorios, 3 baños	9,8	Precio $ 981.917	+ $ 206.203 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	EL HOGAR DE TITA	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 600m²	NA	Precio $ 838.222	+ $ 176.027 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Gustavito Servicio de Alojamiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 26m²	8,0	Precio $ 478.984	+ $ 100.587 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostel Waira	2 camas en habitación compartida	7,9	Precio $ 101.432	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Convento de Tilcara	2 camas en habitación compartida	8,4	Precio $ 101.939	+ $ 21.407 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa Colores	2 camas en habitación compartida	9,2	Precio $ 102.559	+ $ 21.537 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tierra Andina Hostel		8,1	Precio original $ 309.931. Precio actual $ 247.945.	+ $ 52.068 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Tia Maria		NA	Precio original $ 319.511. Precio actual $ 255.608.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 351.631	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Posada Don Juan		8,9	Precio $ 309.931	+ $ 65.085 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Cabañas Sol y Luna	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 72m²	7,4	Precio $ 376.566	+ $ 79.079 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Tierra Virgen Apartments	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	9,2	Precio $ 676.213	+ $ 142.005 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Estancia El Mulato		NA	Precio $ 203.568	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Hosteria La Pushka		8,8	Precio $ 394.457	+ $ 82.836 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	samaywasi		7,7	Precio $ 405.728	+ $ 85.203 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Pumahuasi Hotel Boutique	Suite privada	9,1	Precio $ 511.780	+ $ 107.474 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Los Agustinos	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 45m²	8,3	Precio original $ 608.591. Precio actual $ 492.959.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Giramundo Hostel Purmamarca		8,1	Precio $ 201.089	+ $ 42.229 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Posta de Purmamarca		9,2	Precio $ 462.079	+ $ 97.037 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Hostería Aguas Coloradas		8,1	Precio $ 732.564	+ $ 153.838 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 617.889	+ $ 129.757 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Purmamarca	La Morada		9,5	Precio $ 352.194	+ $ 73.961 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Cabañas Otro Mundo - Finca Otro Mundo	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	9,1	Precio $ 422.633	+ $ 88.753 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 732.564	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Cabañas Paqa Paqa	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	7,9	Precio original $ 205.118. Precio actual $ 184.606.	+ $ 40.528 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Hosteria Maimará		9,2	Precio original $ 478.984. Precio actual $ 383.187.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Hosteria Gorriti	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 26m²	9,7	Precio $ 352.194	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Misky Kucho (dulce rincon)	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina, 60m²	9,7	Precio $ 301.760	+ $ 63.370 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Posta del Sol		8,2	Precio $ 281.755	+ $ 59.169 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Casa Munay		NA	Precio $ 183.141	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	Inti Raymi		7,8	Precio $ 192.721	+ $ 40.471 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	La Casa del Tata		8,7	Precio $ 324.019	+ $ 68.044 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 251.467	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	El Balcón de Sumaj		8,9	Precio $ 247.945	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Maimará	La casa del pintor	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 390m²	5,5	Precio original $ 633.949. Precio actual $ 484.971.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Rancho	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,0	Precio $ 225.404	+ $ 47.335 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tinku	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 33m²	9,5	Precio original $ 427.222. Precio actual $ 384.499.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostel Waira	2 camas en habitación compartida	7,9	Precio $ 101.432	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Villa del Cielo		8,9	Precio $ 486.394	+ $ 102.143 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Convento de Tilcara	2 camas en habitación compartida	8,4	Precio $ 101.939	+ $ 21.407 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostal Antigua Tilcara		9,2	Precio $ 510.667	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Alas del Alma		8,1	Precio $ 456.444	+ $ 95.853 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Shaddai		8,8	Precio $ 197.229	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hotel Belgrano		7,3	Precio $ 228.560	+ $ 47.998 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Hostel		8,8	Precio $ 123.972	+ $ 26.034 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 464.896	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 259.215	+ $ 54.435 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Patio Chikan		7,3	Precio original $ 315.566. Precio actual $ 284.009.	+ $ 59.642 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hotel Norte Rupestre		7,6	Precio $ 314.157	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabañas La Esther Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	9,1	Precio $ 278.938	+ $ 58.577 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Carnavalito Hostel Tilcara		8,0	Precio $ 183.141	+ $ 38.460 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa Colores	2 camas en habitación compartida	9,2	Precio $ 102.559	+ $ 21.537 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tierra Andina Hostal y Cabañas	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 20m²	7,8	Precio $ 348.672	+ $ 72.851 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Posada de Bartola		8,2	Precio original $ 119.746. Precio actual $ 101.770.	+ $ 21.372 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Aguacanto Cabañas		8,8	Precio $ 346.080	+ $ 72.677 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 191.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Farolito Hostel		7,9	Precio $ 202.864	+ $ 42.601 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Patio Alto		8,9	Precio $ 441.792	+ $ 92.776 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cerro Negro Hostal	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	7,8	Precio $ 531.644	+ $ 111.645 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Tia Maria		NA	Precio original $ 319.511. Precio actual $ 255.608.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 351.631	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Posada Don Juan		8,9	Precio $ 309.931	+ $ 65.085 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	CASA ATELIER		8,7	Precio $ 335.289	+ $ 70.411 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cielo de Tierra 2 - Un balcón a los cerros		10	Precio $ 338.106	+ $ 71.002 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cerro Negro Hostal	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	7,8	Precio $ 531.644	+ $ 111.645 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Los Arcabuceros		9,5	Precio $ 535.335	+ $ 112.420 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hostería el Sol Naciente		7,5	Precio $ 205.681	+ $ 43.193 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Alojamiento El Cardon Tilcara		7,9	Precio $ 191.594	+ $ 40.235 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Casa de Fede		6,8	Precio $ 177.224	+ $ 37.217 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cielo de Tierra 1: Balcón a los molles	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 50m²	9,0	Precio $ 366.282	+ $ 76.919 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Aguaribay Tilcara	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 127m²	9,7	Precio $ 619.862	+ $ 130.171 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cabaña Alta Vista	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina, 37m²	8,9	Precio $ 450.809	+ $ 94.670 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Colorada Hostal		9,7	Precio $ 281.755	+ $ 59.169 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Casa en el centro de Tilcara	Casa o chalet entero, 4 dormitorios, 3 baños	9,8	Precio $ 981.917	+ $ 206.203 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	EL HOGAR DE TITA	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 600m²	NA	Precio $ 838.222	+ $ 176.027 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Gustavito Servicio de Alojamiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 26m²	8,0	Precio $ 478.984	+ $ 100.587 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Tilcara Hostal Niña Coya		8,9	Precio $ 262.032	+ $ 55.027 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Las Tinajas		8,2	Precio $ 352.194	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	La Hoyada	Apartamento entero, 3 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 300m²	8,9	Precio $ 873.441	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Aguacanto Cabañas		8,8	Precio $ 346.080	+ $ 72.677 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 191.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	El Farolito Hostel		7,9	Precio $ 202.864	+ $ 42.601 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Patio Alto		8,9	Precio $ 441.792	+ $ 92.776 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Cerro Negro Hostal	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	7,8	Precio $ 531.644	+ $ 111.645 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
Tilcara	Hosteria Tia Maria		NA	Precio original $ 319.511. Precio actual $ 255.608.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	Marqués de Tojo Urbano	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 37m²	9,4	Precio $ 225.404	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	Departamento Maia	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	10	Precio $ 155.670	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	Hostal Trinidad		NA	Precio $ 65.772	+ $ 13.812 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	Los Altos de Nieva	Apartamento entero, 1 dormitorio, 1 baño, 28m²	8,9	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	San Cayetano	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	NA	Precio $ 112.702	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
San Salvador de Jujuy	El Arribo Hotel		9,2	Precio original $ 487.530. Precio actual $ 316.894.	+ $ 66.548 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-1-15	2023-1-31
